task,feature_map,n_qubits,reps,entanglement,scaler,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,8,9,3.02,0.001,ok,0.46551724137931033,0.44303030303030305,0.4381578947368421,0.437245696400626
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,9,10,2.97,0.0,ok,0.4,0.5185185185185185,0.507177033492823,0.354066985645933
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,10,11,3.08,0.001,ok,0.576271186440678,0.7282608695652174,0.6710526315789473,0.5683347966052092
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,11,13,3.01,0.0,ok,0.4067796610169492,0.4519736842105263,0.4542606516290727,0.4060972102387115
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,12,14,3.02,0.0,ok,0.7796610169491526,0.7703488372093024,0.7330827067669172,0.7440774107440774
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,13,15,3.06,0.0,ok,0.48333333333333334,0.5256410256410257,0.5251196172248803,0.4831897749374826
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,14,16,3.11,0.0,ok,0.7868852459016393,0.7745098039215685,0.7937062937062938,0.7783058428850993
WESAD_binary_QSVM,ZZFeatureMap,3,2,linear,robust,ZZFeatureMap_n3_r2_linear_robust,15,17,3.07,0.0,ok,0.4426229508196721,0.45989010989010987,0.4582379862700229,0.4412715517241379
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,1,2,3.27,0.0,ok,0.32142857142857145,0.30193548387096775,0.28165007112375534,0.2887700534759358
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,2,3,2.89,0.0,ok,0.40350877192982454,0.420625,0.41418918918918923,0.39888337468982626
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,3,4,3.33,0.0,ok,0.40350877192982454,0.420625,0.41418918918918923,0.39888337468982626
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,4,5,3.26,0.001,ok,0.6440677966101694,0.6223529411764706,0.6333333333333333,0.6228310502283105
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,5,6,3.29,0.0,ok,0.423728813559322,0.41087962962962965,0.40350877192982454,0.4029761904761905
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,6,7,3.28,0.001,ok,0.4915254237288136,0.5164705882352941,0.5179487179487179,0.4878472222222222
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,7,8,3.25,0.0,ok,0.6779661016949152,0.6467948717948718,0.643483709273183,0.6449160595502059
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,8,9,3.31,0.0,ok,0.4482758620689655,0.48484848484848486,0.4842105263157894,0.4476190476190476
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,9,10,3.3,0.001,ok,0.38333333333333336,0.4157509157509158,0.41746411483253587,0.38316198944151153
WESAD_binary_QSVM,ZZFeatureMap,3,2,full,standard,ZZFeatureMap_n3_r2_full_standard,10,11,3.27,0.0,ok,0.559322033898305,0.5775058275058275,0.5833333333333333,0.5561342592592593
